,date,currency,zar_rate
0,2025-01-01,USD,18.1591
1,2025-01-01,GBP,23.289
2,2025-01-01,EUR,21.0701
3,2025-01-01,AUD,11.7025
4,2025-01-02,USD,18.3837
5,2025-01-02,GBP,23.6094
6,2025-01-02,EUR,21.2311
7,2025-01-02,AUD,11.5222
8,2025-01-03,USD,18.1092
9,2025-01-03,GBP,23.2639
10,2025-01-03,EUR,20.9057
11,2025-01-03,AUD,11.7758
12,2025-01-04,USD,18.1347
13,2025-01-04,GBP,23.8421
14,2025-01-04,EUR,21.1066
15,2025-01-04,AUD,11.7352
16,2025-01-05,USD,18.1325
17,2025-01-05,GBP,23.1547
18,2025-01-05,EUR,21.0308
19,2025-01-05,AUD,11.8432
20,2025-01-06,USD,18.0845
21,2025-01-06,GBP,23.645
22,2025-01-06,EUR,20.6738
23,2025-01-06,AUD,11.8539
24,2025-01-07,USD,18.4369
25,2025-01-07,GBP,23.4641
26,2025-01-07,EUR,20.803
27,2025-01-07,AUD,11.7712
28,2025-01-08,USD,18.4174
29,2025-01-08,GBP,23.2684
30,2025-01-08,EUR,20.6314
31,2025-01-08,AUD,11.8162
32,2025-01-09,USD,18.1648
33,2025-01-09,GBP,23.3633
34,2025-01-09,EUR,20.7891
35,2025-01-09,AUD,11.9483
36,2025-01-10,USD,18.1227
37,2025-01-10,GBP,23.2558
38,2025-01-10,EUR,20.6615
39,2025-01-10,AUD,11.7394
40,2025-01-11,USD,18.3178
41,2025-01-11,GBP,23.5066
42,2025-01-11,EUR,20.7842
43,2025-01-11,AUD,11.6789
44,2025-01-12,USD,18.2852
45,2025-01-12,GBP,23.4566
46,2025-01-12,EUR,21.1209
47,2025-01-12,AUD,11.734
48,2025-01-13,USD,18.1953
49,2025-01-13,GBP,23.278
50,2025-01-13,EUR,20.8798
51,2025-01-13,AUD,11.5966
52,2025-01-14,USD,18.2096
53,2025-01-14,GBP,23.448
54,2025-01-14,EUR,20.6064
55,2025-01-14,AUD,11.8704
56,2025-01-15,USD,18.2943
57,2025-01-15,GBP,23.3767
58,2025-01-15,EUR,20.8532
59,2025-01-15,AUD,11.7603
60,2025-01-16,USD,18.1788
61,2025-01-16,GBP,23.1913
62,2025-01-16,EUR,20.9826
63,2025-01-16,AUD,11.7478
64,2025-01-17,USD,18.4121
65,2025-01-17,GBP,23.4402
66,2025-01-17,EUR,20.7444
67,2025-01-17,AUD,11.6936
68,2025-01-18,USD,18.487
69,2025-01-18,GBP,23.5662
70,2025-01-18,EUR,20.7288
71,2025-01-18,AUD,11.6445
72,2025-01-19,USD,18.0217
73,2025-01-19,GBP,23.3082
74,2025-01-19,EUR,20.7024
75,2025-01-19,AUD,11.7866
76,2025-01-20,USD,18.2174
77,2025-01-20,GBP,23.2676
78,2025-01-20,EUR,20.8266
79,2025-01-20,AUD,11.7132
80,2025-01-21,USD,18.1274
81,2025-01-21,GBP,23.806
82,2025-01-21,EUR,20.5516
83,2025-01-21,AUD,11.6665
84,2025-01-22,USD,18.3887
85,2025-01-22,GBP,23.3055
86,2025-01-22,EUR,20.5657
87,2025-01-22,AUD,11.8034
88,2025-01-23,USD,18.38
89,2025-01-23,GBP,23.5257
90,2025-01-23,EUR,21.0239
91,2025-01-23,AUD,11.9713
92,2025-01-24,USD,18.3065
93,2025-01-24,GBP,23.5186
94,2025-01-24,EUR,20.9008
95,2025-01-24,AUD,11.7463
96,2025-01-25,USD,18.1848
97,2025-01-25,GBP,23.125
98,2025-01-25,EUR,21.0485
99,2025-01-25,AUD,11.7888
100,2025-01-26,USD,18.0464
101,2025-01-26,GBP,23.4978
102,2025-01-26,EUR,20.6727
103,2025-01-26,AUD,11.7427
104,2025-01-27,USD,18.2342
105,2025-01-27,GBP,23.0833
106,2025-01-27,EUR,20.926
107,2025-01-27,AUD,11.8002
108,2025-01-28,USD,18.1353
109,2025-01-28,GBP,23.151
110,2025-01-28,EUR,20.9454
111,2025-01-28,AUD,11.7693
112,2025-01-29,USD,18.2854
113,2025-01-29,GBP,23.4463
114,2025-01-29,EUR,21.1629
115,2025-01-29,AUD,11.7357
116,2025-01-30,USD,18.2214
117,2025-01-30,GBP,23.0951
118,2025-01-30,EUR,20.758
119,2025-01-30,AUD,11.7489
120,2025-01-31,USD,18.2718
121,2025-01-31,GBP,23.2658
122,2025-01-31,EUR,21.0318
123,2025-01-31,AUD,11.6716
124,2025-02-01,USD,17.9229
125,2025-02-01,GBP,23.624
126,2025-02-01,EUR,20.7873
127,2025-02-01,AUD,11.82
128,2025-02-02,USD,18.2638
129,2025-02-02,GBP,23.662
130,2025-02-02,EUR,20.906
131,2025-02-02,AUD,11.7068
132,2025-02-03,USD,18.18
133,2025-02-03,GBP,23.5143
134,2025-02-03,EUR,21.0691
135,2025-02-03,AUD,11.9267
136,2025-02-04,USD,18.1436
137,2025-02-04,GBP,22.9282
138,2025-02-04,EUR,20.7602
139,2025-02-04,AUD,11.7512
140,2025-02-05,USD,18.0598
141,2025-02-05,GBP,23.4409
142,2025-02-05,EUR,21.0049
143,2025-02-05,AUD,11.8239
144,2025-02-06,USD,18.1875
145,2025-02-06,GBP,23.3886
146,2025-02-06,EUR,20.8212
147,2025-02-06,AUD,11.6654
148,2025-02-07,USD,18.2537
149,2025-02-07,GBP,23.0383
150,2025-02-07,EUR,20.7133
151,2025-02-07,AUD,11.7183
152,2025-02-08,USD,18.2735
153,2025-02-08,GBP,23.5199
154,2025-02-08,EUR,20.9154
155,2025-02-08,AUD,11.8431
156,2025-02-09,USD,18.249
157,2025-02-09,GBP,23.4529
158,2025-02-09,EUR,20.9794
159,2025-02-09,AUD,11.7432
160,2025-02-10,USD,18.0442
161,2025-02-10,GBP,22.9311
162,2025-02-10,EUR,21.0461
163,2025-02-10,AUD,11.7183
164,2025-02-11,USD,18.0588
165,2025-02-11,GBP,23.1928
166,2025-02-11,EUR,21.0436
167,2025-02-11,AUD,11.6384
168,2025-02-12,USD,18.152
169,2025-02-12,GBP,23.4367
170,2025-02-12,EUR,20.9564
171,2025-02-12,AUD,11.7043
172,2025-02-13,USD,18.1022
173,2025-02-13,GBP,23.5448
174,2025-02-13,EUR,20.7935
175,2025-02-13,AUD,11.6558
176,2025-02-14,USD,17.9407
177,2025-02-14,GBP,23.4164
178,2025-02-14,EUR,21.0092
179,2025-02-14,AUD,11.8629
180,2025-02-15,USD,17.9166
