,vehicle_id,vehicle_type,vehicle_age_years,capacity_kg,fuel_type,maintenance_score,current_mileage_km
0,V000001,Medium Truck,1,8000,Diesel,85.06,193997.0
1,V000002,Medium Truck,5,8000,Diesel,83.39,72050.0
2,V000003,Medium Truck,5,8000,Diesel,68.78,1000.0
3,V000004,Motorbike,11,50,Petrol,66.61,206076.0
4,V000005,Van,4,1000,Petrol,89.17,119600.0
5,V000006,Medium Truck,0,8000,Diesel,85.75,163284.0
6,V000007,Light Truck,7,3500,Diesel,100.0,154709.0
7,V000008,Motorbike,6,50,Petrol,88.26,23537.0
8,V000009,Medium Truck,14,8000,Diesel,79.01,337431.0
9,V000010,Van,5,1000,Petrol,90.64,172167.0
10,V000011,Van,9,1000,Petrol,87.86,142955.0
11,V000012,Medium Truck,0,8000,Diesel,81.71,109637.0
12,V000013,Medium Truck,0,8000,Diesel,83.8,193079.0
13,V000014,Medium Truck,10,8000,Diesel,90.46,255755.0
14,V000015,Light Truck,6,3500,Diesel,66.68,180857.0
15,V000016,Van,10,1000,Petrol,82.02,129944.0
16,V000017,Heavy Truck,5,20000,Diesel,93.99,403544.0
17,V000018,Van,9,1000,Petrol,70.5,36608.0
18,V000019,Medium Truck,12,8000,Diesel,71.4,228852.0
19,V000020,Medium Truck,10,8000,Diesel,59.16,22754.0
20,V000021,Medium Truck,13,8000,Diesel,79.6,44874.0
21,V000022,Van,8,1000,Petrol,92.95,130925.0
22,V000023,Motorbike,6,50,Petrol,88.1,109511.0
23,V000024,Van,0,1000,Petrol,78.59,115928.0
24,V000025,Light Truck,0,3500,Diesel,93.39,212408.0
25,V000026,Van,1,1000,Petrol,98.29,103288.0
26,V000027,Light Truck,1,3500,Diesel,72.91,400335.0
27,V000028,Van,11,1000,Petrol,71.78,251917.0
28,V000029,Light Truck,0,3500,Diesel,100.0,189838.0
29,V000030,Light Truck,9,3500,Diesel,66.48,322276.0
30,V000031,Light Truck,3,3500,Diesel,95.34,87500.0
31,V000032,Van,2,1000,Petrol,94.22,95211.0
32,V000033,Light Truck,7,3500,Diesel,87.52,83627.0
33,V000034,Motorbike,1,50,Petrol,77.88,239615.0
34,V000035,Light Truck,4,3500,Diesel,80.09,318654.0
35,V000036,Van,0,1000,Petrol,79.93,144224.0
36,V000037,Heavy Truck,1,20000,Diesel,91.48,198576.0
37,V000038,Van,9,1000,Petrol,86.42,223156.0
38,V000039,Motorbike,3,50,Petrol,86.77,140089.0
39,V000040,Light Truck,8,3500,Diesel,79.37,152090.0
40,V000041,Light Truck,4,3500,Diesel,66.36,102582.0
