delivery_id,is_late,risk_reason
DL000000001,0,Normal
DL000000002,0,Normal
DL000000003,0,Normal
DL000000004,0,Normal
DL000000005,0,Normal
DL000000006,0,Normal
DL000000007,0,Normal
DL000000008,0,Normal
DL000000009,0,Delayed status
DL000000010,0,Normal
DL000000011,0,Normal
DL000000012,0,Normal
DL000000013,0,Normal
DL000000014,0,Normal
DL000000015,0,Normal
DL000000016,0,Normal
DL000000017,1,Long delivery duration
DL000000018,0,Normal
DL000000019,0,Normal
DL000000020,0,Normal
DL000000021,0,Normal
DL000000022,0,Normal
DL000000023,0,Normal
DL000000024,0,Normal
DL000000025,1,Delayed status
DL000000026,0,Normal
DL000000027,1,Normal
DL000000028,0,Normal
DL000000029,0,Normal
DL000000030,0,Normal
DL000000031,0,Normal
DL000000032,0,Normal
DL000000033,0,Normal
DL000000034,0,Normal
DL000000035,0,Delayed status
DL000000036,0,Normal
DL000000037,0,Normal
DL000000038,0,Normal
DL000000039,0,Normal
DL000000040,0,Normal
DL000000041,0,Normal
DL000000042,0,Normal
DL000000043,0,Normal
DL000000044,0,Normal
DL000000045,1,Delayed status
DL000000046,0,Normal
DL000000047,1,Normal
DL000000048,0,Normal
DL000000049,0,Normal
DL000000050,0,Normal
DL000000051,0,Long delivery duration
DL000000052,0,Normal
DL000000053,0,Normal
DL000000054,0,Normal
DL000000055,0,Normal
DL000000056,0,Normal
DL000000057,0,Normal
DL000000058,0,Normal
DL000000059,0,Normal
DL000000060,0,Long delivery duration
DL000000061,0,Long delivery distance
DL000000062,1,Delayed status
DL000000063,0,Normal
DL000000064,0,Normal
DL000000065,0,Normal
DL000000066,0,Normal
DL000000067,0,Normal
DL000000068,1,Delayed status
DL000000069,0,Long delivery duration
DL000000070,0,Normal
DL000000071,0,Normal
DL000000072,0,Long delivery duration
DL000000073,0,Normal
DL000000074,0,Normal
DL000000075,0,Normal
DL000000076,0,Normal
DL000000077,0,Normal
DL000000078,0,Normal
DL000000079,0,Normal
DL000000080,1,Normal
DL000000081,0,Normal
DL000000082,0,Normal
DL000000083,1,Long delivery duration
DL000000084,0,Normal
DL000000085,0,Long delivery duration
DL000000086,0,Normal
DL000000087,0,Normal
DL000000088,0,Normal
DL000000089,0,Normal
DL000000090,0,Normal
DL000000091,0,Normal
DL000000092,0,Normal
DL000000093,0,Normal
DL000000094,0,Normal
DL000000095,0,Normal
DL000000096,0,Normal
DL000000097,0,Normal
DL000000098,0,Normal
DL000000099,1,Delayed status
DL000000100,0,Normal
DL000000101,0,Normal
DL000000102,0,Normal
DL000000103,0,Normal
DL000000104,0,Normal
