date,currency,zar_rate
2025-01-01,USD,18.2283
2025-01-01,GBP,23.1388
2025-01-01,EUR,20.8603
2025-01-01,AUD,11.8981
2025-01-02,USD,18.4074
2025-01-02,GBP,23.3527
2025-01-02,EUR,20.9858
2025-01-02,AUD,11.8902
2025-01-03,USD,18.1429
2025-01-03,GBP,23.2136
2025-01-03,EUR,20.8835
2025-01-03,AUD,11.9265
2025-01-04,USD,18.3686
2025-01-04,GBP,23.3715
2025-01-04,EUR,20.8175
2025-01-04,AUD,11.8667
2025-01-05,USD,18.3792
2025-01-05,GBP,23.3757
2025-01-05,EUR,20.7709
2025-01-05,AUD,11.8952
2025-01-06,USD,18.5636
2025-01-06,GBP,23.5906
2025-01-06,EUR,20.7483
2025-01-06,AUD,11.8851
2025-01-07,USD,18.194
2025-01-07,GBP,23.4968
2025-01-07,EUR,21.0769
2025-01-07,AUD,11.7462
2025-01-08,USD,18.2709
2025-01-08,GBP,23.3604
2025-01-08,EUR,20.5428
2025-01-08,AUD,11.693
2025-01-09,USD,18.248
2025-01-09,GBP,23.4903
2025-01-09,EUR,21.1556
2025-01-09,AUD,11.8639
2025-01-10,USD,18.1183
2025-01-10,GBP,22.673
2025-01-10,EUR,20.5845
2025-01-10,AUD,11.7139
2025-01-11,USD,18.0758
2025-01-11,GBP,23.0748
2025-01-11,EUR,20.8471
2025-01-11,AUD,12.0089
2025-01-12,USD,18.0497
2025-01-12,GBP,23.5671
2025-01-12,EUR,20.89
2025-01-12,AUD,11.906
2025-01-13,USD,18.1257
2025-01-13,GBP,23.2307
2025-01-13,EUR,20.7789
2025-01-13,AUD,11.7275
2025-01-14,USD,18.1164
2025-01-14,GBP,23.5265
2025-01-14,EUR,20.9507
2025-01-14,AUD,11.7928
2025-01-15,USD,18.1938
2025-01-15,GBP,23.1408
2025-01-15,EUR,21.0421
2025-01-15,AUD,11.7872
2025-01-16,USD,18.2159
2025-01-16,GBP,23.4642
2025-01-16,EUR,21.1052
2025-01-16,AUD,11.8
2025-01-17,USD,18.5684
2025-01-17,GBP,23.0597
2025-01-17,EUR,20.9512
2025-01-17,AUD,11.8175
2025-01-18,USD,18.0635
2025-01-18,GBP,23.2839
2025-01-18,EUR,20.9001
2025-01-18,AUD,11.8531
2025-01-19,USD,18.0947
2025-01-19,GBP,23.2616
2025-01-19,EUR,20.9224
2025-01-19,AUD,11.6182
2025-01-20,USD,18.1572
2025-01-20,GBP,23.349
2025-01-20,EUR,20.6855
2025-01-20,AUD,11.7936
2025-01-21,USD,18.3885
2025-01-21,GBP,23.191
2025-01-21,EUR,21.011
2025-01-21,AUD,11.7641
2025-01-22,USD,18.13
2025-01-22,GBP,23.3493
2025-01-22,EUR,20.6436
2025-01-22,AUD,11.7858
2025-01-23,USD,18.1646
2025-01-23,GBP,23.2624
2025-01-23,EUR,20.9911
2025-01-23,AUD,11.8318
2025-01-24,USD,18.1063
2025-01-24,GBP,23.7579
2025-01-24,EUR,20.7554
2025-01-24,AUD,11.8794
2025-01-25,USD,18.5333
2025-01-25,GBP,23.2628
2025-01-25,EUR,20.8479
2025-01-25,AUD,11.8152
2025-01-26,USD,18.0374
2025-01-26,GBP,23.1283
2025-01-26,EUR,20.9242
2025-01-26,AUD,11.7641
2025-01-27,USD,18.297
2025-01-27,GBP,23.1983
2025-01-27,EUR,20.9161
2025-01-27,AUD,11.8338
2025-01-28,USD,18.2224
2025-01-28,GBP,23.0585
2025-01-28,EUR,21.0532
2025-01-28,AUD,11.9331
