vehicle_id,vehicle_type,vehicle_age_years,capacity_kg,fuel_type,maintenance_score,current_mileage_km
V000001,Medium Truck,1,8000,Diesel,85.06,193997.0
V000002,Medium Truck,5,8000,Diesel,83.39,72050.0
V000003,Medium Truck,5,8000,Diesel,68.78,1000.0
V000004,Motorbike,11,50,Petrol,66.61,206076.0
V000005,Van,4,1000,Petrol,89.17,119600.0
V000006,Medium Truck,0,8000,Diesel,85.75,163284.0
V000007,Light Truck,7,3500,Diesel,100.0,154709.0
V000008,Motorbike,6,50,Petrol,88.26,23537.0
V000009,Medium Truck,14,8000,Diesel,79.01,337431.0
V000010,Van,5,1000,Petrol,90.64,172167.0
V000011,Van,9,1000,Petrol,87.86,142955.0
V000012,Medium Truck,0,8000,Diesel,81.71,109637.0
V000013,Medium Truck,0,8000,Diesel,83.8,193079.0
V000014,Medium Truck,10,8000,Diesel,90.46,255755.0
V000015,Light Truck,6,3500,Diesel,66.68,180857.0
V000016,Van,10,1000,Petrol,82.02,129944.0
V000017,Heavy Truck,5,20000,Diesel,93.99,403544.0
V000018,Van,9,1000,Petrol,70.5,36608.0
V000019,Medium Truck,12,8000,Diesel,71.4,228852.0
V000020,Medium Truck,10,8000,Diesel,59.16,22754.0
V000021,Medium Truck,13,8000,Diesel,79.6,44874.0
V000022,Van,8,1000,Petrol,92.95,130925.0
V000023,Motorbike,6,50,Petrol,88.1,109511.0
V000024,Van,0,1000,Petrol,78.59,115928.0
V000025,Light Truck,0,3500,Diesel,93.39,212408.0
V000026,Van,1,1000,Petrol,98.29,103288.0
V000027,Light Truck,1,3500,Diesel,72.91,400335.0
V000028,Van,11,1000,Petrol,71.78,251917.0
V000029,Light Truck,0,3500,Diesel,100.0,189838.0
V000030,Light Truck,9,3500,Diesel,66.48,322276.0
V000031,Light Truck,3,3500,Diesel,95.34,87500.0
V000032,Van,2,1000,Petrol,94.22,95211.0
V000033,Light Truck,7,3500,Diesel,87.52,83627.0
V000034,Motorbike,1,50,Petrol,77.88,239615.0
V000035,Light Truck,4,3500,Diesel,80.09,318654.0
V000036,Van,0,1000,Petrol,79.93,144224.0
V000037,Heavy Truck,1,20000,Diesel,91.48,198576.0
V000038,Van,9,1000,Petrol,86.42,223156.0
V000039,Motorbike,3,50,Petrol,86.77,140089.0
V000040,Light Truck,8,3500,Diesel,79.37,152090.0
V000041,Light Truck,4,3500,Diesel,66.36,102582.0
V000042,Heavy Truck,9,20000,Diesel,89.95,186460.0
V000043,Light Truck,5,3500,Diesel,76.62,133681.0
V000044,Motorbike,14,50,Petrol,97.97,173558.0
V000045,Medium Truck,5,8000,Diesel,77.97,171937.0
V000046,Medium Truck,13,8000,Diesel,74.39,172949.0
V000047,Light Truck,3,3500,Diesel,81.17,148189.0
V000048,Medium Truck,5,8000,Diesel,72.87,99785.0
V000049,Light Truck,6,3500,Diesel,100.0,206961.0
V000050,Van,9,1000,Petrol,100.0,138084.0
V000051,Medium Truck,11,8000,Diesel,80.97,233773.0
V000052,Medium Truck,6,8000,Diesel,81.57,161345.0
V000053,Light Truck,4,3500,Diesel,73.21,173017.0
V000054,Light Truck,4,3500,Diesel,72.89,270545.0
V000055,Heavy Truck,8,20000,Diesel,63.62,224533.0
V000056,Light Truck,4,3500,Diesel,78.55,213582.0
V000057,Medium Truck,6,8000,Diesel,47.21,138811.0
V000058,Light Truck,11,3500,Diesel,74.28,414012.0
V000059,Van,5,1000,Petrol,54.72,110932.0
V000060,Heavy Truck,1,20000,Diesel,70.31,227631.0
V000061,Medium Truck,11,8000,Diesel,65.0,97405.0
V000062,Light Truck,14,3500,Diesel,79.04,1000.0
V000063,Van,0,1000,Petrol,98.02,124253.0
V000064,Heavy Truck,6,20000,Diesel,84.56,304829.0
V000065,Light Truck,5,3500,Diesel,80.31,159038.0
V000066,Van,2,1000,Petrol,83.77,318904.0
V000067,Medium Truck,8,8000,Diesel,76.19,347203.0
V000068,Medium Truck,13,8000,Diesel,77.97,56026.0
V000069,Van,2,1000,Petrol,81.39,214911.0
V000070,Van,8,1000,Petrol,92.87,345812.0
V000071,Medium Truck,13,8000,Diesel,70.78,244649.0
V000072,Medium Truck,11,8000,Diesel,84.57,251008.0
V000073,Heavy Truck,4,20000,Diesel,79.32,137244.0
V000074,Medium Truck,2,8000,Diesel,76.69,188648.0
V000075,Van,8,1000,Petrol,79.92,143893.0
V000076,Van,4,1000,Petrol,63.48,268222.0
V000077,Van,4,1000,Petrol,75.07,188111.0
V000078,Medium Truck,4,8000,Diesel,92.16,184972.0
V000079,Medium Truck,4,8000,Diesel,93.06,108931.0
V000080,Van,0,1000,Petrol,85.88,105718.0
V000081,Light Truck,14,3500,Diesel,82.96,107551.0
V000082,Medium Truck,10,8000,Diesel,65.19,225963.0
V000083,Motorbike,11,50,Petrol,78.69,249755.0
V000084,Light Truck,0,3500,Diesel,76.69,118474.0
V000085,Medium Truck,4,8000,Diesel,71.47,193212.0
V000086,Light Truck,11,3500,Diesel,90.03,127477.0
V000087,Medium Truck,9,8000,Diesel,78.02,166021.0
V000088,Heavy Truck,9,20000,Diesel,84.64,277522.0
V000089,Light Truck,7,3500,Diesel,84.02,37880.0
V000090,Medium Truck,8,8000,Diesel,100.0,204006.0
V000091,Van,12,1000,Petrol,100.0,175433.0
V000092,Van,7,1000,Petrol,88.33,173040.0
V000093,Light Truck,7,3500,Diesel,83.88,145058.0
V000094,Van,9,1000,Petrol,81.15,98742.0
V000095,Heavy Truck,13,20000,Diesel,97.57,206845.0
V000096,Light Truck,11,3500,Diesel,85.53,76240.0
V000097,Medium Truck,13,8000,Diesel,66.28,67231.0
V000098,Medium Truck,6,8000,Diesel,84.95,132456.0
V000099,Light Truck,0,3500,Diesel,75.83,195813.0
V000100,Motorbike,11,50,Petrol,80.89,198274.0
V000101,Light Truck,12,3500,Diesel,75.25,73702.0
V000102,Van,12,1000,Petrol,87.99,317337.0
V000103,Light Truck,2,3500,Diesel,80.12,307325.0
V000104,Light Truck,13,3500,Diesel,94.02,304662.0
V000105,Van,10,1000,Petrol,96.11,165184.0
V000106,Medium Truck,10,8000,Diesel,83.9,325697.0
V000107,Medium Truck,3,8000,Diesel,77.22,300426.0
V000108,Heavy Truck,12,20000,Diesel,96.93,155373.0
V000109,Medium Truck,2,8000,Diesel,88.38,320786.0
V000110,Medium Truck,14,8000,Diesel,100.0,72396.0
V000111,Medium Truck,0,8000,Diesel,79.57,59982.0
V000112,Light Truck,6,3500,Diesel,90.03,297258.0
V000113,Heavy Truck,4,20000,Diesel,86.07,110159.0
V000114,Medium Truck,5,8000,Diesel,87.72,233578.0
V000115,Light Truck,6,3500,Diesel,77.97,64895.0
V000116,Medium Truck,12,8000,Diesel,76.24,152734.0
V000117,Heavy Truck,5,20000,Diesel,75.71,133276.0
V000118,Light Truck,12,3500,Diesel,78.97,86743.0
V000119,Heavy Truck,1,20000,Diesel,84.21,155013.0
V000120,Van,1,1000,Petrol,90.8,146872.0
V000121,Medium Truck,8,8000,Diesel,83.54,264272.0
V000122,Light Truck,6,3500,Diesel,97.36,22241.0
